,text,score,PredScore
15,Gatorade shakes too expensive after discount. Nothing new with this shake. Same articial flavor and watery-milky mixture as many others.,1.0,2.0
16,If you can get water through the k cup the coffee is good.But I have had to much trouble with cloging brewer water not going through k cup and coffee grounds in the cup.I would not recomend.,1.0,2.0
17,"The gum is stale, it's lost most of its taste, and it's hard. If you compare it to the store bought one, it's like a totally different gum. Big mistake. It explains why it's so cheap though. Straight in the trash it goes.",1.0,1.0
18,These biscuts are not safe.  My 11 month old was able to break off a huge piece and started choking on it.  Thankfully we were able to get it out in time.  Not worth the risk.  Do not use these.,1.0,1.0
19,BAD BAD COFFEE - HORRIBLE - HORRIBLE - DISGUSTING - BOUGHT 2 ORDERS - VANILLA & HAZLENUT - BOTH HORRIBLE - NAMES SOUNDED SO DELICIOUS TOO!,1.0,1.0
20,I HATE TO SAY IT BUT THIS CANDY IS HORRIBLE. IT IS TASTELESS AND IN-EDIBLE. I TRIED IT AND THREW THE ENTIRE 2LB BAG AWAY. CONSIDERING I PAID $11 IN SHIPPING FOR A $5 PRODUCT I WASN'T HAPPY ABOUT THAT. I BOUGHT THESE TO MAKE FRUIT LOOP NECKLACES WITH MY NIECE. ENDED UP USING THE TWIZZLER EQUIVALENT AND MAKING BRACELETS.,1.0,1.0
21,"I never received my cookies.  It says they have been delivered but when I contacted the company to tell them ive never got them, they told me to contact the post office who said they didn't have them.  The company did nothing about this matter. Not very good customer service at all!",1.0,1.0
22,"It's great if you're looking for a tea with antioxidants (found naturally in most teas) but if you're looking for a palatable fruit based one, don't buy this one. It's cheap, granted, but I was expecting actual passion fruit and orange flavors as advertised. Instead the tea tastes more like plastic when you  heat it (er think tupperware when it's been microwaved too many times). Perhaps similar to the orange juice left on the radiator? Anyway, not recommended.",1.0,3.0
23,"I am so disappointed in this coffee. I would have thought that Wolfgang could muster up a great cup of decaf, but this is bland, boring, and no way to finish a great meal if you love coffee. If you like generic american coffee with no punch, no hint of a darker roast this may be for you. But for those of us that love a GREAT cup of joe this ain't the brand to buy. What do I do with it now???",1.0,2.0
24,Assumed it would be a mi of flavors and regular coffee. All fruity flavored coffee. Not good. And they would not allow me to exchange it. So now I'm stuck with $40 worth of coffee that I'm not going to drink.,1.0,1.0
25,"Not hot at all. Like the other low star reviewer, I got suckered by seeing 'habenero' in the name and the 12 oz size. Some people might like the flavor, citrus-y and it has some fish sauce in the mix (according to the ingredient label), but if you're looking for hot this ain't it",1.0,2.0
26,"This ""microground coffee"" is glorified instant coffee and tastes worse than any instant coffee I have ever had. Real Kcups have coffee grounds left in them after brewing, these end up empty If I wanted instant coffee I could have gotten hundreds more cups for the price I paid for these. The company should hang their head in shame.. so deceiving. I am awaiting a response to the complaint I wrote to the manufacturer!",1.0,1.0
27,"Very deceiving photo looks like a large bag of chips. My wife did not read product info so its mostly her fault, however overcharge fro both shipping and product. Look around product should cost 89 cents and shipping should be around $1.50. They charged $4.33 to ship a 1 ounce product. Buyer beware this is a scam and a good one at that. Read whole page before purchasing.",1.0,1.0
28,"Sorry to have to write a negative review, but these are terrible.  Much too dry, almost tastes like little rolled up pieces of paper. I tried mixing them in my yogurt, but they were still much too dry.  Don't waste your money on these.  Buy Heaven Mountain brand, as they are the absolute best! You won't believe the diffence, until you try them.",1.0,1.0
29,I love Swedish Fish but was horrified when I received a bag of deceased fish!  The bag was torn open in the box.  Some were hard as rocks.  Others had melted into a bloody red mess.  What are you made of that you can house both extremes in one bag?  I'll never eat one again.  I've switched to blue gummy sharks.,1.0,1.0
30,this is a waste of money. in my opinion the bone is dehydrated way too much causing choking hazards for smaller dogs. i will never order this again.,1.0,1.0
31,"I am a tea lover and ordered 2 boxes of this tea ... a big mistake.  I have been drinking oolong tea for years, and this is the worse oolong tea I have tasted.  It tasted bitter, burnt and stale.  Poorly packaged, the tea bags broke when hot water was added, leaving loose tea leaves that needed to be strained. A real disappointment,  my boxes ended up in the trash.",1.0,1.0
32,"Even worse than the ""spicy"" type.  I will at least eat the other flavors but this, I gave it away.",1.0,1.0
33,"Pure salt is simply sodium chloride.  Most of the table salt we eat comes from underground.  Michigan is a giant salt mine.  If you want trace minerals, go buy a cattle lick block for 10 bucks and grind it down.  Take supplements or eat a balanced diet.<br /><br />The main difference between one salt and another is texture.  I prefer flaked kosher salt for my steaks and veggies.",1.0,3.0
34,Bought as a gift.  Both boxes were old.  Signs of cocoa butter seperation.  Dry and crumbly chocolate.  Filling was good.,1.0,2.0
35,"Ginger, lemon and honey seem a natural flavor combination. Unfortunately, this drink ends up being entirely unappealing -- it is a dirty brown color, it smells musty, and the taste is too strong and powdery. The only real positive is that at least the dry pellets dissolve quickly and completely in hot water, so the consistency is nice and even. I could not stand to take more than a couple sips.",1.0,2.0
36,"These are not black winter truffles (Tuber melanosporum).  I thought the price was too good to be true, (even though they aren't fresh), and it is.  These are Tuber indicums.  It says so right on the label.<br /><br />I was very angry about this, but JR Mushrooms has said they will refund me for the truffles and even let me keep them.  So I give JR credit for excellent  responsiveness and customer service, although I still feel they should not be labeled ""black winter truffles"".",1.0,2.0
37,"Despite what seemed to be adequate packaging, about one-third of the crackers in each sleeve were broken, so I lost about 5-6 crackers per sleeve.",1.0,2.0
38,"I bought these sweet potatoes for my 4th child and honestly they make jarred sweet potatoes taste like a gourmet meal. They don't even taste like sweet potatoes, I'm not sure how to describe it. I'm not really happy to see cornstarch in the ingredient list either. I was hoping to use these to thicken my homemade purees and sneak them in my toddlers food but after using them like regular baby food I can't feed them to my kids. :(",1.0,2.0
39,If I could write word over I would.. It's just gum and what more can you say.. It's what I ordered so I'm happy with it.,1.0,4.0
40,"I bought this to chew and swallow, to help bloating. Learned from dr oz show. But it was way to minty to the point of burning mouth. And hard to chew.",1.0,2.0
41,"We all know the product, the problem here was the packaging. They arrived having been melted and hardened again. Each candy was no longer a cup shape but a bag of abstract shapes, nothing like their oringinal form. They were ordered to be favors for a wedding. Labels had been bought with the newleyweds monogram in the shape of the pb cup. What a disaster!",1.0,1.0
42,Extremely disappointed. I trusted the brand and got a 4-pack. But this product is just too sweet. And there are barely any raisins in them. I would rather go for any in-house brand (like Ralphs) and get a better cereal than this. This cereal is very unhealthy.,1.0,2.0
43,"I took a chance on these since they seemed more healthful than typical crackers and they looked enticing on the photo.  Was I ever disappointed.  They are horrible!  Flavorless, dry and brittle - no redeeming qualities at all.  Trust me and save your money.",1.0,1.0
44,What a disappointment ! They taste terrible and the texture is discusting. I would not ruin a good dish by adding them. I will never buy them again. Nasty !,1.0,1.0
45,"I would not take the risk to eat this fish as it is from China.  Wish it was said in the description because here I lost 15.69 for one pound of wet fish (thought it was dried but it came with lot of water as the weather is hot I am also afraid it might have gone bad with such hot weather.<br /><br />Again, I will not eat it.",1.0,2.0
46,"These cookies have ""partially hydrogenated oils."" which is Trans Fat in them. Trans Fat is the worst type of fat for your heart.",1.0,1.0
47,"My daughter has recently had to avoid gluten due to an immunity issue and we tried these locally. She is picky, but I tried one and almost lost my stomach. Horrible. There are other items that she likes. When it comes to snacking we just stick to potato and corn products and avoid anything sesame .",1.0,1.0
48,"These cashew are impregnated with peanut and cotton seed oil and they taste like they were fried. I just was looking for real raw cashew (no salt , no nothing added)<br />I will not buy them again.",1.0,1.0
49,"I didnt like this coffee. Instead of telling you why I didnt like it, I will tell you the coffee I DO like. If you like the same as i do, you most likely will not like this one. It wasnt dark enough for me.<br /><br />I enjoy<br /><br />Barista Prima Italian Roast<br />tullys french and italian roasts",1.0,3.0
50,"I paid over $30 for a box of 24 K-Cups.  The box came sealed; from the outside nothing looked wrong.  However, there were ONLY 8 K-CUPS IN THE BOX!!!  ARE YOU KIDDING ME?  According to policy, there is no way to return or exchange.<br />It doesn't matter whether or not the coffee is good if you don't get what you paid for.  DO NOT BUY THIS PRODUCT!!!",1.0,1.0
51,"Tastes great, has lots of fiber, lots of protein, and ....is extremely crunchy, tends to be formed in huge lumps. When I tried to chew it, one of my veneers broke in half. WTF? Seriously I ate  different foods for over a year and 1 stupid cereal  did that!<br />EAT AT YOUR OWN RISK!",1.0,2.0
52,"I loved this item, and wanted to order, but wasn't a option in my area. I would really like to order Good Health Veggie Stix, 7-Ounce Bags (Pack of 10) but says they cannot ship to my area. I gave bad review becuase they won't ship to my area. Alaska is a state. Its not like its out of America!!",1.0,1.0
53,"I love the Stash brand tea. I love the flavors of Pomegranate, Raspberry but put them together with green tea isn't a taste I like. I figured given the fact that I love the taste of Pomegranate and Raspberries I would like this one but personally I don't like it. But just because I don't like it doesn't mean someone else wouldn't like it. It is something you should judge for yourself.",1.0,3.0
54,"Very Very overpriced. 30 Starbucks K-Cup for $49.44? You can get from BJS, Sams Club or Costco a 54 count Starbucks K-Cup for $39.99. Which is a way better deal.",1.0,1.0
55,"I ordered these British candy jells not realizing they don't travel well in hot weather.  They arrived stuck together in one mass.  To taste them I had to cut out a chunk.  I live in Las Vegas with hot summers.  My advice, don't order if delivery would be in hot weather or to hot locations.  Other than that they seemed fine.",1.0,3.0
56,My toddler never says no to any foods. But as soon as I squeezed this out of the package I wondered why it smelled SO BAD.  I started feeding him it...he ate a few bites each time screaming as he swallowed.  Then he refused.  Don't buy this.  It's awful.,1.0,1.0
57,Product was yellow/orange but had very little flavor.. Not good with popcorn or Mac N Cheese.  Pass on this one.,1.0,2.0
58,Its a decent vegetarian meal. I gave it one star only because it has dairy and I am looking for vegan foods. It tasted okay.,1.0,1.0
59,Thanks for the reviews......I almost bought this product thinking it was k-cups.<br /><br />You can actually buy the Ghiradelli hot chocolate in a can from most grocery stores AND it is much cheaper.<br /><br />Wonder how many people got scammed??<br /><br />Thanks to those who took the time to review the product.  Saved me some $$$$,1.0,2.0
60,"Unbelievably awful texture.  Not crisp; rather, tough and chewy and stale-seeming.  They stick to your teeth and are hard to chew.<br /><br />If you happen to be building a 1970s-style doll's house from scratch, you could use these for very realistic-looking wood paneling.  Or a fence for a diorama.  You get the idea.",1.0,2.0
61,"I was disappointed with this order.  I was expecting, as advertised, that I would be receiving 12 different pezs.  I ended up only receiving 4 different kinds.  This was not what the picture showed!",1.0,2.0
62,"<a href=""http://www.amazon.com/gp/product/B000CQID1K"">Slim Jim Giant, Mild Spicy Smoked Snacks, 0.97-Ounce Box (Pack of 24)</a><br /><br />They were very disappointing. Thought we were purchasing pepperoni, but they taste more like lard on a stick. Disgusting!",1.0,1.0
63,"Arizona tends to pride itself on the fact that their drinks are only $0.99... I can buy a case from the gas station down the road for $25 after tax... Definitely not worth it unless they've been pulled from your area.<br /><br />The drink on the other hand is perfect. It's the right balance of tea and lemonade, not too sour, not overwhelmingly sweet.",1.0,3.0
64,Very disappointed.  Made my cat sick.  Total waste of money.  Back to just eating tuna for our girl.  Can't afford to waste money.,1.0,1.0
65,this tastes horrible. i am fairly sure someone a kikkoman just blended their expired sauces into this horrible concoction. This stuff seriously has this odd chemical aftertaste that ALMOST reminds me of curry.,1.0,1.0
66,"These tomatoes are supposed to be the best of the best. This brand's product is not. Remove the lid and inside is complete mush. Rather than whole tomatoes, all you get is a bucket of smashed red bits and a whole lot of liquid. Will not buy again.",1.0,3.0
67,"People, please dont buy from this seller. You will be over paying by about 30$. Just order strait from the Nespresso website!",1.0,1.0
68,"In Sept of 2008 I ordered my customary case of this popcorn....after realizing that the name had been changed but the ingredients were the same.  At least half of that case of 3-packs were dry and burned when cooking.  These bags were tough and tasteless, not light and fluffy as I had come to expect.  I have not received satisfactory treatment from the manufacturer, but I'll be persistent and hope to get at least half of my money refunded as half of the popcorn went into the trash.",1.0,1.0
69,This concoction was as bitter as a divorce after 20 years of marriage. I have thrown the other 5 cups away. Disgusting. Over powering bitter taste with the scent of a tinge of over ripe garbage. The good doctor should be charged with attempted poisoning.,1.0,1.0
70,"I was definately expecting a better product from earth's best. However, these biscuits were not good at all. My son who only has 2 teeth broke these very easily. I will not be buying them again.",1.0,2.0
71,"I bought this toor dal from SimplyBeautiful. It looked very old and the color on some grains was turning black, was it not supposed to be yellow and fresh?<br /><br />Please do not sell expired items!",1.0,1.0
72,Wow.  I am very disappointed. This was supposed to be for my son's class snacks.  The box of rice krispies arrived open and the box was missing 4 treats. Is there any quality control or is it that they just don't care as long as they sell a product?,1.0,2.0
73,"the flowers did not look like they did in the ad and they were completely dead the next day, waste of money that couldve been spent on a good present also were they supposed to come in a vsae because they didnt",1.0,1.0
74,"Boy, was I disappointed!  I didnt like the  texture or the taste  and couldnt eat them.  I will not be ordering these again!",1.0,2.0
75,"One word for I.M. Healthy SoyNut Butter: Disgusting.  We got the honey-flavored stuff, and it was truly gross. It looks like peanut butter, but is no substitute.  It went straight in the trash.",1.0,1.0
76,Such a ridiculous price for a 7.5 OZ pack of peanuts.<br />It's only $1.99 for a 3.88 OZ pack in Asian markets.,1.0,1.0
77,"Taste like cheap supermarket $3.00 for 3 lb coffee, maybe worse.<br />Send back and Amazon gave me credit for the cost. Great for them",1.0,1.0
78,Apparently my opinion does not matter ? I simply stated that I think their should be some sort of oversight . Why not post it and see if your customers agree ? I am not out to give you negative feedback but I am being prevented from giving a review ?,1.0,1.0
79,"For all the ""No Artificial"" in their advertising they use Splenda. I was very unhappy with this product. I will be avoiding Kraft products from now on assuming they pull this trick elsewhere.",1.0,1.0
80,I figure the $10 and $12 price for a single box of Dreamfield pasta is a joke or a typo - right????,1.0,1.0
81,"I didn't like this tea (at all) so I tried it on my unsuspecting husband.  He wanted to know why I had put bacon bits (or the taste of them) into his tea.  Needless to say, he didn't drink the rest of the cup.  This tea is full-on ""bleah.""",1.0,1.0
82,The machine was very flimsy.  Almost entirely made of plastic.  Sent it back before first cup.  Amazon return policy was great!,1.0,1.0
83,"My dad and I love moon pies, so when father's day came I decided to order him a box. To my dismay the box came and we opened it up to find 12 melted, crushed, and smooshed moon pies that looked completely inedible. I felt horrible and was very upset at this. On top of that, my father says it tasted like they were 10 years old. I will never order this product again.",1.0,1.0
84,"I love annie chun but this particular soup just does not do it for me personally, however you may love it. The soup has a very unusual taste. I really wanted to like this soup but I will stick to the other flavors that I love.",1.0,2.0
85,I was disappointed with the mocktails flavors.  I tried every flavor and decided  to give these to someone that might enjoy them..I really like your lemonade and white grape flavors so keep making them.,1.0,2.0
86,I almost gagged when I had this flavor. I can't believe so many people actually like it. I had to dump it out.,1.0,1.0
87,"This gum is absolutely repulsive. As soon as you take off the plastic wrap, you hope it's not going to taste like it smells.  This reminds me of the grape tyenol chewables with a dash of Red Bull. GROSS!!!! My mom and sister would not even try it just from smelling the package. This ended up in the garbage.",1.0,1.0
88,"I had enjoyed the first package of this coffee, really good. So good, that I put it on subscription but when I received the second package I thought there was something wrong with my Tassimo. Then after a few more tries I found that this was just plain terrible, terrible coffee. The hazelnut was really artificial-tasting. What a shame. They've ruined my taste for hazelnut. Actually, now--anything by Gevalia.",1.0,1.0
89,"Out of 15 honeys, 7 arrived broken inside the box.  The packaging of small glass jars should have been much more rigorous...why wouldn't they have used bubble wrap at least???!!!  The worst part was, these were supposed to be part of a favor bag for my friend's baby shower and I couldn't replace them in time.",1.0,1.0
90,"I bought a packet of this from my local Thai market today and was very excited to try it. I grilled some beef, cut it into strips, put the seasoning over it and then added shallots and cilantro and a little lime. It just tasted like slightly spicy lime with ground toasted rice. It didn't have that yummy flavor I'm used to when I get nam tok. Please note: This packet contains MSG.",1.0,1.0
91,The product description is incomplete. It also contain High Fructose Corn Syrup. I threw it in the trash. They got my money ... once with their deceptive advertising. They will not get it again. Shame is there isn't a zero star rating,1.0,1.0
92,"We are normally fans of the Sprout brand. This product, however, did not meet with their usually high standards. Upon opening a packet of food, I noticed an 'off smell' and a discoloration of product. It appeared spoiled. I tasted a small amount before feeding it to my daughter and determined that it was, indeed, bad. So back the entire box went to amazon.",1.0,1.0
93,My Decaf K-cups arrived today and I am very upset. Some of the dates on the K-cups expire next week! Some are unmarked with an expiration date and none are good beyond 4 months from now. They are packed in an unmarked box with a toilet paper roll inside. Don't buy this and certainly don't give it as a gift. I hope to get fresh coffee or my money back!,1.0,1.0
94,"the porchetta primata taste good as compare to other brand that i had eaten before but the product weight as indicated was not correct (7 pounds) actual was 4-5 pounds, this was very deceiving considering that the pricing is per pounds, which i end up paying more.Also the shipment packaging was very poor considering that you paid 20 dollars for it, the ice was completely melted and the product was  already in room temperature, had i not got it earlier  it would probably  start spoiling.",1.0,2.0
95,the box was soaking wet and leaking everywhere when i opened it. There were juice boxes that had leaked out all over the box. I will never order this juice on amazon again.,1.0,1.0
96,"Not a success at my house.  A gimmick to say the least.  The flavor is to sweet and there is way too much citric acid in it.  I purchased a case from Amazon, but will give it away.",1.0,2.0
97,"These lollipops were disappointing. You really can't see the swirl like you can in the picture. The colors are kinda melted together. Also, like the other reviews stated the wrapping has black writing all over it on both sides, so before you can do anything with it you really have to take the wrapping off.",1.0,1.0
98,"Crunchy balls of candy on the outside, chewy gummy in the inside.  Sounds clever, but these are mostly gross.  The black ones are more bitter than sweet.  The red ones have a slight raspberry flavor and are tolerable, but nothing special.  Don't buy 5lbs of these unless you are really sure you like them.",1.0,2.0
99,"These teething biscuits are supposed to be hard enough for baby to gnaw on and not have it break off into pieces. About a couple minutes after my son sucks on the biscuit, it softens, and he's able to break off very large pieces into his mouth. Luckily, I was right there watching and was able to retrieve the huge chunk out of his mouth. This is just not safe. I do not recommend these teething biscuits.",1.0,1.0
100,We found this product to be a very slimy version of jerky.  Almost like a canned catfood.  We couldn't eat it.  The purchasing and delivery etc from the company was good.,1.0,1.0
101,"Save your money!!!  Individually these boxes sell for $3.49.  For six individual boxes, you would pay around $21.  This case of 6 boxes is $46!!!  Why pay more than double for a product that costs so much less?  This is completely absurd.",1.0,1.0
102,I would love to talk to the people who manufacture this product. It was horrifying when I started eating the dried up mess and a tiny tooth appeared. I will never buy or eat the stuff again.,1.0,1.0
103,"Purchased one of these for our Greater Swiss Mountain Dog, a couple days after eating this he started vomiting and refusing food. Turns out he had to have surgery for a blockage in is small intestine. A piece of undigested jumbone was removed from his intestine. Do more research and you will find numerous cases of this. Please DO NOT BUY if you value your pet.",1.0,1.0
104,"I bought this ""pure vanilla extract"" because of the price. I have been sorry ever since. This extract is extremely bitter and has hardly any vanilla flavor. It also contains cane sugar.",1.0,1.0
105,"Due to the fact you cannot give a 0 star rating I had to give it a 1 star.  While it tastes like chicken, it in no way resembles chicken.  No chunks, basically it looks like they power washed the bones and that's the chicken you get.<br /><br />I've written to hormel about this as well and about to contact the government as ""Premium Chunk Breast of Chicken"" is NOT AT ALL what this product is.<br /><br />It is a waste of money and time.",1.0,1.0
106,Happy that I checked the ingredients! This dog food is not vegan! It has D3 instead of D2 added to it. Too bad...,1.0,1.0
107,"This is pure poison not matter how cheap it is and it has NOTHING to do with sugar. Johnson & Johnson are getting sued right now for claiming this. It is a chemical. Check out this website [&#8230;] (I am not affiliated) or google it before you put this stuff into your body. You owe it to yourself, your body and your children (if you have any).",1.0,1.0
108,This was the worst peach tea I have ever had in my life. I threw the box in the garbage and could not even drink it.,1.0,1.0
109,"We used these bottle with our first kids, and when we bought some new ones we noticed that the 1oz line was actually 1.5oz, this was not a huge deal, we just had to measure down half an ounce.<br /><br />Then they starting breaking, all of ours have micro cracks and a few have broken. We will be tossing these and buying all new soon.",1.0,3.0
110,When I bought my popcorn popper I figured I'd try this popcorn just to see how it was.  Please dont waste your money on this stuff.  The colonels were very very small and tough.  I thought maybe since it was my first time using it  wud try it again in case it was me with a new popper....and again it was awful.  Threw the popped popcorn out and even the birds wudnt eat it....,1.0,1.0
111,This bubble gum is terrible.  After chewing for a min or two it becomes very hard. I will<br />never purchase this again. Probably can't return it because it is a food product.,1.0,1.0
112,"When I opened the pack, the aroma promised smooth, chocolate, minty goodness.  When I chewed the gum, I tasted overwhelming mint, with a chemical aftertaste.  No chocolate taste.  Yech.",1.0,1.0
113,"I was shocked to see that these are selling for over $15 on Amazon.  My local grocery store carries this exact same product for $8.99!  The product itself gets 20 stars because my Beagles literally dance for them... but the pricing gets a big BOO!  I always shop Amazon because I know I can get terrific prices, that's why I was surprised.",1.0,2.0
114,"Coming from Russia, buckweat kasha was something I wanted to have once in while here; I bought it before in the russian district. This one looks great in the package but cooks too fast and becomes all starchy and looses its taste. I threw the whole pot out. Now don't know what to do with all other packages.",1.0,2.0
115,"We bought this cereal after reading great reviews. However, when we opened the box, we found the product to be mostly ground to a sawdust consistency. We were extremely disappointed. Avoid this unless you are prepared to open up a box of cereal that's practically dust.",1.0,1.0
116,"Great coffee, BUT at 8.88 for 11 oz. this is almost twice as expensive as in any grocery store. I don't think we'll be ordering anytime soon.",1.0,4.0
117,"The Vanilla version is delicious, but just went up by a ridiculous amount (it wasn't very affordable to begin with).  I'll NEVER order this Original again.  For that matter, I'll never order the Vanilla either.  Just because it apparently did sell well is no justification for greed.  I won't like it but I'll live without it now.",1.0,2.0
118,"I bought this feta --liked the taste-- but after only a few days after opening it, it became weird looking in the frig-it turned yellowy !as it was still a long way from expiration, I returned it to the supermarket--they gave me a new one----------same thing happened---am I doing something wrong?",1.0,1.0
119,"Started off my boxer on Blue Buffalo, and on it he had constant diarrhea.  Terrible gas as well.  Vomited one morning a week ago so we took him to the vet.  Vet said it is likley the dog food, and had heard the same symptoms from other pet owners.  Switched him to Eukanuba/Whole Earth Farms and he is fine now, and growing fast!  Shame on you Blue Buffalo, all marketing, terrible product.",1.0,1.0
120,"Has a funky taste, thought would be interesting to try given the high reviews.  Not sure where these are coming from?  Thought this was the worst coffee I've ever had and no one I've given a cup to thought it was any good.<br /><br />Going to stick with my Cafe Escapes Cafe Mocha.  Their Chai Latte is also very good.  Cafe Escapes is probably the best brand I've had in K-Cups so far.",1.0,1.0
121,"After several months and much wasted milk I've given up on these grains. I'm pretty experienced with kefir making. I've bought kefir grains before, but always live, never dried. I followed the reviving directions exactly, but the resulting kefir smelled and tasted foul, there was always too much moldy ""flowers of kefir"" after just one or two days, and there was never any kefirian.",1.0,1.0
122,"I bought this tea chest a few days ago , unfortunately it's Red and completely different color and it's not same as photo I hate Red color for this stuff and it's not beautiful color,worse thing is they said it's grocery and I can't return it . that's horrible it means I lose $50 it's not fair .",1.0,1.0
123,"I did not get the item pictured.  I ordered the Golden Mountain Seasoning Sauce with the green and yellow label.  I received Golden Mountain Sauce with a yellow and red label.  I don't think it is the same thing.  Both products are sold on the site, so I am not sure what happened.",1.0,1.0
124,"I've offered them to my dog repeatedly and only once has he even taken one in his mouth. He immediately laid it on the floor and never went back to it. Admittedly, he is very picky about his treats. My friend's dog isn't interested in them either.",1.0,2.0
125,"Faintly resembles coffee, bad aftertaste and aroma. The caffeinated version is only slightly better.  There are better alternatives out there.",1.0,2.0
126,I love mashed potatoes. But I goofed on this batch. These are much too highly seasoned for my taste. Betty Crocker tried too hard to be distinctive. If she had let the poor reds be themselves they would have been wonderful.,1.0,2.0
127,"While it is nice that MIO has no calories, caffeine, or sugar, it just tastes horrible. It is a neat idea in theory, if it taste good, but I could not get it to taste like tea - or anything pleasant, honestly - no matter how much or how little I used. It is just one horrid extreme to the other. Either too bland, too sweet, too just plain gross. I don't know if it is me, or the product, or what? Maybe other flavors will be better - who knows.",1.0,2.0
128,This taste so nasty. As much as I love chocolate...i would not even touch this if it was the last on earth.,1.0,1.0
129,"The nuts I received were stale.  Three people tried them and agreed - these almonds are bland and bitter.  Raw almonds are a favorite of mine, so I know what they're suppose to taste like.",1.0,1.0
130,"When we used to vacation in Myrtle Beach, we always visited the Peanut Shop to stock up on their wonderful products.  The ones we ordered from this seller were probably good at one time, however arrived stale and stuck together.  Hopefully this was a fluke; I would hope no one would knowingly sell outdated food products.  Disappointed.",1.0,1.0
131,"I bought these seeds for sprouting, as I assumed they would sprout. After 4 days it was apparent that they will not, and are dead. I bought an alternate brand advertised as sprouting seeds, and after 2 days, they were growing.",1.0,1.0
132,"This is a great product I always buy them from trader Joe's when I stop in. At the store they only cost about a 1.85! at the price this retailer is asking I have to say stay away, unless you like throwing away money. I rate it as a 1 just because of the over pricing. buy it some place else!",1.0,2.0
133,yuck yuck yuck!!!! never had such bad tasting meatballs my whole life. just totally wasted my money away,1.0,1.0
134,"Kellogg's cereals contain genetically modified organisms. Those are crops that have been altered in a laboratory by splicing in DNA from bacteria or toxins. They don't want you to know that, so they have spent over 600,000 dollars to fight against your right to know. Ninety percent of Americans want labels on food that contain GMO's. I would not buy Kellogg's cereals until they are labeled or stop using GMO's.",1.0,1.0
135,"Ok.... I am assuming that this is a typo, but if I am wrong, someone please tell me how these could be worth that much. Are they filled w/ liquid gold? Maybe heroin? I bet thats it.... Oh Man!!! Did I dime out your drug operation? I'm sorry.",1.0,2.0
136,I read the instructions.  Followed every letter.  Kept the new growth sprayed.  Either rabbits or squirrels still ate my rose bushes.,1.0,1.0
137,I used to buy these from Amazon at least 2-3 times a month.  The last 2 shipments were hard as a rock and the potatoes looked like plastic.  I definitely did not give these to my shih tzu. The treats used to be softer and you could tear them into smaller pieces.  The last ones I received I couldn't even cut with a knife.  I won't be buying these any more until I start seeing some positive reveiws.,1.0,1.0
