,productId,score,text
124996,B000AQSTPC,1.0,"Ordered 2 packs of balls & I rec'd one pack of black & white and one pack of red and off-white swirl patterned balls. Yuch. NOT WHAT WAS PICTURED!<br /><br />Save yourself a ton of money and search for ""rainbow ball golf"" on Amazon. You can get 50 or 110 of *firm* foam rainbow balls for much less money per ball. Same size as these.<br /><br /><a href=""http://www.amazon.com/gp/product/B004I8JGNW"">A99 Golf Rainbow Foam Ball Practice 50 Pcs with Bucket</a><br /><br /><a href=""http://www.amazon.com/gp/product/B0068UER28"">A99 Golf Rainbow Foam Ball Practice 110 Pcs with Bucket</a>"
78775,B0031UBVX6,4.0,"Definately one of the more expensive baby foods.  Smaller container then any others but my son really likes it.  Got a good deal from Warehouse Deals makes it easier to buy, but still expensive."
240608,B000G7I7DO,2.0,"My first hint that I might not be re-ordering was the caution on the package to ""wash hands with soap and water"" after handling the treats. I've never seen that before. Hmm. The things inside the container looked like some kind of circus side-show of the treat world. They smell strange, and look like butcher-store offal.<br /><br />I understand that dog treats come from the discarded parts of animals, but this product makes it very clear that these are nowhere near what we normally think of as ""food."" There were some bits (unidentifiable) that the dog would not eat, though she would eat most of them. She doesn't seem to be any more enthusiastic about these than any other kind of treat, though.<br /><br />And I don't like carrying a few in my pocket on walks, because some are great big tube-like things and some are tiny stick pieces. And of course then I spend the whole walk wanting to wash my hands. It's just a strange, creepy assortment, and I don't think I'll be getting this product again."
75862,B004MO6NI8,4.0,NO FEAR<br />ENERGY DRINK<br /><br />I have tasted many an energy drink in my day and while some have tasted good at least none have worked for me. For some reason these so drinks do not keep me up or give me that boost or whatever. Still that doesn't mean that I can't enjoy the taste of said products. When it comes to this one it is a bit sweet but overall it tastes pretty good. It is the usual 16 oz can full of energy and taste for most people. I would recommend this to people that are fans of energy drinks.
76679,B0049ULB78,4.0,"Dark Magic is one of my favorite Keurig coffees. I love a dark roast, full bodied coffee - and this one delivers. It's not bitter - it's just rich in flavor. Other bold coffees aren't really bold to me in the Keurig, but this one certainly is. Try it and I think you'll like it!"
127957,B001PM0KRU,1.0,"The marshmallows were stale and not well packaged.  They were in a cheap ziplock bag with no dates or labeling.  I was very disappointed, particularly for the amount of money I spent on them."
153419,B001F9QW16,3.0,Its not that these bags are bad - its really more that it takes some time to get used to a compostable bag!!  they aren't as 'strong' as the regular bags you're probably used to (and that goes for me too) so it has taken me some time to get used to the fact these bags don't stand up very long to let's say compost material - but I will say that if you are diligent about getting your composte down to the bin more frequently it is nice to be able to just throw bag and all into the bin!
78389,B001GB7IJI,4.0,"I LOVE Swedish Fish. And the amount is a TUN, and I'm glad, but the fish I received weren't as fresh as I would have expected. And the fish are also the small ones, not the full size fish. That might be why they aren't as fresh as they might have been (the smaller the fish, the sooner it dries out?)... in any case, I find myself a bit disappointed."
129382,B004PEWOZG,1.0,REALLY DO NOT LIKE THESE!  THEY GRIND WAAY TOOO SMALL INTO A POWDER .. YET I REALLY WANTED TO HAVE THE CINNAMON GROUND INTO SMALL PIECES INSTEAD!<br /><br />ANY CHANCE OF GETTING A REFUND FOR THE 2ND UNOPENED BOTTLE?
17592,B008ZL3XS2,5.0,"This is really good stuff. I was looking for a healthy alternative to white sugar, and read that agave nectar and sucanut are not really that healthy after all. So even though I'd never tried coconut sugar before, I was intrigued about how it tasted.<br /><br />I was pleasantly surprised, as it tastes like a mild brown sugar, and most importantly I don't feel a sugar spike after eating it.<br /><br />I've put it in my organic coffee (yummy!), and cooking with it seems to work just fine (the company says to use it 1 to 1 as a replacement for sugar in recipes).<br /><br />I like that this company uses the profits to support the economy of small farmers in Indonesia. Good karma and great taste!<br />Recommended!"
149347,B001QKGLOM,3.0,"I bought this product and the Golden Valley Natural Organic (Original) in order to compare them.  They're exactly the same price per ounce (the Golden Valley product is organic; the John Wayne organic is more expensive).  They're similar, both fall into the ""soft"" beef jerky category with no artificial ingredients.  However, the John Wayne product is a bit mealy and has a subtle but funny aftertaste.  This outweighs the single shortcoming of the Golden Valley product, which is that it is a bit too sweet."
128796,B0032GREWQ,1.0,"I could just bawl.  This is just one of my favorite products that have been discontinued or ""improved"" in the last couple of years.  I loved Potato Buds for thirty years and I will never buy them again, instead I'll try all the other brands.  I got at least four people (who said they would never eat instant mashed potatos) hooked on Potato Buds, because they were so different and so good.  Now, they're not buds any more.  They're a powdery concoction that has to be contained in a plastic bag, not poured straight from the box.  I thought companies spent millions on consumer research before launching a new product, but somebody definitely screwed up here.  They do not taste better at all and the consistency is not pleasing."
78752,B0031UBVX6,4.0,My daughter currently does not want to eat fruit. I think it has to do with the texture or something. So in order to ensure that she does get her vitamins I give her these as a snack. I think they are all great and that it's a shame that they are not all available for subscribe and save anymore.
163956,B000JMAVPS,3.0,"i made curry with half a bottle of this and it still was a bit bland i prefer thai curry i can get at the asian markets<br /><br />if this is bland, crush some garlic cloves and add cardamon, chii peppers and ginger to heat it up and some sirachi chili sauce its awsome then"
237628,B001CHFSR0,2.0,"I bought this to try a different flavor.  It was filled with Hazelnut instead.  The Hazelnur was good but nit what was ordered.  It did arrived timely, but i didnt want to go thriugh hassle of returning."
160527,B000ILK9QG,3.0,"My first taste of popcorn seasoning was at the movies I like the taste of it .<br />I decided to buy my own. I brought my first bottle of kernel at the supermarket.<br />So I than decided to order some so I could share it with my family.<br />We all said it did not taste like the popcorn seasoning in the movies, the seasoning in the movie taste better.<br />The kernel season's has a powder taste and the movie season's has a nice garlic grain taste.<br />I will use the rest of the kernel season's but I don't think I will buy any more.<br /><br />Sistradee"
134788,B000EITYUU,1.0,"Started using this salt. After 2 days I got this terrible headache. Check my blood pressure and HOLY COW!!! It's was the highest it had ever been.<br />The only thing I changed in my eating habits was this salt.<br />A word to those who may buy this Celtic Sea Salt, I'm not saying that it definitely will, but it MAY increase your blood pressure. So be advised."
77010,B001OCKIP0,4.0,"When I saw this yummy sounding chocolate granola, I thought it sounded great!  Well, it is just that, chocolate granola that is!  Nothing fancy, but it's still tasty. I guess I was disappointed nonetheless though... I was expecting a bit more creativity I suppose."
75838,B004MO6NI8,4.0,"The actual product is flavorful and goes down ""easy""; on a like-for-like basis, I would probably rate this as the best energy drink I have tried (versus the usual suspects ... Monster, etc).  However, I am basing this assumption on my experience of drinking a flat product.  The can was damaged and bloated on top; the shipping box was completely undamaged.  So I wouldn't hesistate recommending trying out the drink from your local convenience store, but I would be wary of online orders based on my experience (who knows, probably is an isolated incident, but could be a packaging issue related to the new product).  Give it a shot!"
78387,B001GB7IJI,4.0,"Wish it is packed in small counts. But not. Anyway, found this as expected. Tastes ok. Definitely good price though."
127057,B000EIE20M,1.0,"Many people are unnecessarily intimidated when it comes to making curry paste.  I am always disappointed by the people who are impressed with the taste of curry paste manufactured between 6 months and 18 months ago.  Its not hard to find the fresh ingredients and make it fresh.  It takes me less than 15 minutes to make something that is far superior in taste and nutrition to this product.  This product is widely used in Thai restaurants where the cooks don't want to cook, and don't want to invest the time in training workers who change restaurants every 6 months...they just want to hire untrained laborers who can open cans and scoop pre-made mixes out of containers.  It takes a bit of time and practice to make curry paste, but do it a few and you can master the art of working with the spices.  You will never go back to the cheap, low quality substitutes used in most Thai restaurants and sold in Asian grocery store. If you want the real thing, learn to make it or find a restaurant to support that makes their pastes from scratch."
128754,B004XWDPDU,1.0,"I was excited to try this tea as I love both matcha green tea and chocolate.  I do not like this product.  I usually order my matcha from Matcha Source out of LA and I guess I have been spoiled because the quality of this green tea seems low and combined with the ""chocolate"" flavor is undrinkable to me.  I will be using the rest of the bag in smoothies and hope it will drown out this awful taste."
77239,B000VK339Y,4.0,"Unlike the other reviewer's dog, mine loves ""Newman's Own"" canned food.  I gotta believe that if a dog won't touch this, the dog is not only extremely fussy, but not very hungry as well.  Having this delivered to my door cheaper than I can buy it at my local supermarket sure is handy."
252089,B000FZU0N2,2.0,"Product did not ship well. pasta broken into small pieces. flavor profile was poor.I like the idea of low carb pasta, however."
17797,B000EVMNO6,5.0,"I ordered this HUGE bag of gummy frogs for the little man's birthday party as they fit my theme.  Tons of compliments on them, and very reasonably priced (compared to shopping locally, which I really do try to do).  No one believed these were an Amazon.com purchase, they were so fresh and tasty!"
134516,B003E728CE,1.0,"I can't believe these are veterinary approved.  Just smell one and that should tip you off....smells like chemicals.  Evidently my dogs think so too, because they will not eat them."
154076,B001EQ4GZ4,3.0,"We subscribed to the diamond walnut offer December of 2010.  Price was very reasonable (About $4.00 per bag w/ free shipping)  Got our first shipment as promised.  Everything was just as they said.  AS it got closer to the time to get our next shipment, Amazon sent us an e-mail reminding us that if we wanted to change the frequency, we could do that. Since we still had (3) bags left, I decided to bump the order back a few weeks.  I noticed when I got the delivery confirmation, the price had jumped to over $6.00 per bag.  Now I understand food prices do rise and fall on occassion but to jump that much in less than a month, was very fishy. I felt like they had done a bait and switch on the pricing.  Good product if you're willing to spend the  money."
136702,B000CQ01NS,1.0,"I've eaten this product for years due to a wheat allergy.  I loved it so much that I convinced my non-gluten sensitive friends to eat it (and they love it).  For years, I ate it at least once per week.... until this last batch.<br /><br />I'm not sure what is different but this batch of pasta makes me very sick.  I wasn't sure it was the pasta.  The first time I cooked it, I blamed the broccoli I added.  The next time, I must have undercooked the chicken.  The next time, it was the pepper flakes' fault.  Then, the added garlic.  While working through the pack of 12, I eventually developed an aversion to it from getting so sick and started eating it only once per month.<br /><br />The last few times... again, sick.  So, today, I tried it just the pasta and water, nothing else... and sure enough, VERY sick.  I won't get descriptive but I am suddenly very, very sensitive to something in the pasta. I am 100% certain it is the pasta since I become sick within hours of eating it.  I am also positive I have never, not in years of regular consumption, had this type of reaction before this batch.  I just wanted to put it out there in case anyone else has a similar reaction to whatever has changed.<br /><br />I scanned the boxes, just now, to make sure I accidentally didn't get shipped a gluten case and noticed that this is new packaging.  So, maybe they changed the recipe with the colors/art on their box.  Either way, I won't be eating this again and it's a shame b/c it was such a versatile tool in an otherwise limited cross section of gluten free foods that my ""typical"" friends will eat."
79202,B003TNANSO,4.0,Peanut Butter Dark Chocolate bar:  Bar advertised as peanut butter and dark choco - so I was surprised to find almonds in it.  Tastes good but very hard...almost seemed old but wasn't based on expiration date on package.<br /><br />Dark Choco Cherry Cashew bar:  AWESOME and chewy.
17890,B001EO653M,5.0,"This stuff is good!!  That's all I have to say.  Rich chocolate, sweet but not overpowering, with a taste of cinnamon and almonds.  Great combination."
132678,B0026KZ7EG,1.0,"If you want black tea, then buy this. If you are looking for black tea with passion fruit, DON'T buy this! There is no hint of passion fruit in this tea; can't smell it nor can you taste it. Therefor I don't recommend it."
75866,B004MO6NI8,4.0,"I've been an avid red bull drinker for a few years, but no more than 1 every few days.  Drank it a lot during finals.  Had monster, rock star ect but those are a lot more sugar.<br /><br />If you don't mind the 260 calories per can and the super dose of caffeine, it's pretty much the same as the others but the taste is more of a refreshing grape.  It's definitely more drinkable than the others but as the name implies, it takes all of it to an extreme, sugar, caffeine ect.  My gf and I split the can and liked it and will most likely buy it if we feel the need like a road trip or whatnot."
126493,B000XHTD1W,1.0,"Nothing says homemade BBQ sauce like high-fructose corn syrup and sodium benzoate.  Do yourself a favor and buy a BBQ with a little authenticity to it, or even better do what your grandparents did and make it from scratch."
77655,B001LG940E,4.0,"Remember the taste of punch mixed with ginger ale? The black cherry flavor of this tastes a lot like that! I love that flavor, but I don't love the 130 calories you get with each 8 ounce serving. The ""Switch"" is no exception to that.  The label also doesn't mention if it has caffeine or not.<br /><br />Tastes yummy, but not going to help anyone lose weight!"
255608,B000HKJOM8,2.0,"This tea is fine, but in my opinion flavor is lacking and when present tastes rather artificial.  Better off with 12 high quality tea bags."
127928,B002AN8HSW,1.0,"What follows is a statement of personal opinion, an opinion formed based on published reports from the FDA and other credible sources, and widely available on the Internet.  I am a (recent) former user of Evanger's pet food products, and have no affiliation with them, or with anyone else in the pet food industry.  I deeply regret having ever fed any animal Evanger's products, especially animals I love and care for.  Of course, you must do your own research and draw your own conclusions about these matters.  Evanger's has made an explanation of their side of things in some of these matters, although I personally found their ""reasons""  entirely unconvincing.<br /><br />I would strongly urge you to research this company for yourself.  In particular, read about the FDA's revocation of their permit for failing to process the food properly, and read about the arrest of the owners on charges that they committed millions of dollars worth of utilities fraud by operating their plant for years with the gas and electric meters bypassed.  If, as alleged, they were operating with stolen utility service, what shortcuts would they be willing to take with your pet's health and safety to reduce manufacturing costs?  And in the vein of cutting costs, read about the successful lawsuit by employees for just under half of a million dollars in unpaid overtime wages.<br /><br />I can't post web links here, but my sources include a Chicago Tribune Article dated March 25, 2010, titled ""Lincolnwood couple charged in utility theft scheme"" and two articles on the FDA web site entitled ""FDA Orders Pet Food Maker to Obtain Emergency Operating Permit"" and ""FDA Suspends Temporary Emergency Permit of Pet Food Maker"".  I would also mention the lawsuit against Evanger's by their employees, which Evanger's appears to have lost.  (Source: web site ""Truth About Pet Food"") The Northern District of Illinois Distric Court, Case: 1:09-cv-00227, filed 9/15/2010, Final Approval Order Francisco Barragan and Liberto DeLaRosa, on behalf of themselves and all other similarly situated persons (Plantiffs) versus Evanger's Dog and Cat Food Co., Inc., Holly N. Sher and Joel Sher (Defendants).  Don't take my word on this, find out for yourself.<br /><br />The picture these events and reports formed in my mind was one of owners who were willing to do anything to make a buck, without regard to the legalities, consequences to their employees, or to their customers.  Maybe you will come to a different conclusion.  Maybe I  am over reacting.  But I want everyone considering their product to learn the facts, read the articles, and make an informed decision.<br /><br />I hope you find this to be useful.  If anyone can point to any error of fact in my review, please let me know, and I will happily correct it, it is my intention to be fair and accurate."
79828,B001IZM92S,4.0,"Great sweet crisp apple chip.  No additives or extra sugar.  Great way to get a little treat without extra guilt of eating junk.  12, 13, 15 year old kids love them too.  looking forward to packing them in lunches in the Fall.  Best bargain is to buy the big pounder packs and divide them up yourself.  The little bags are good but too expensive for the convenience. Love these but not the Granny Smith Apple chips as much. Granny's not as sweet.  I want to try the Mango chips next."
79569,B003TNANSO,4.0,"I really like these KIND bars. They're tasty, they're light, and they're good for you.<br /><br />The bars I'm reviewing are Pomegranate, Blueberry, and Pistachio. They really don't taste like any of those, they taste like an almond bar with various bits of indistinguishable fruit bits. Here are the ingredients, with the titled ingredients in all caps: Almonds, blueberry pieces (BLUEBERRY, apple, and plum puree), raw sugar, glycerol, citrus fiber, cashews, honey, raisins, glucose, POMEGRANATE, crisp rice, chicory fiber, PISTACHIOS, soy lecithin, natural flavors. The ingredients are always listed in descending order of how much is included, and KIND pulled a fast one by calling their ""blueberry pieces"" a separate ingredient, since it's really just apple puree. By my math guesstimate, there is less than 5% of Pomegranate, Blueberry, and Pistachio in the whole bar.<br /><br />Basically, this tasted like an almond bar. My advice is to read the ingredients, and expect it to taste like what's in the ingredients, and not go by what the title is on these bars.<br /><br />They're also really gooey. These are probably the stickiest bars I've ever had. I never pick them up with my hands, but I eat them out of the plastic.<br /><br />Also, I've ordered about ten of these boxes off of Amazon, and one box was rock hard. Not this one, but another kind. So if your box is hard as a rock, then just order another one, and odds are it will be okay.<br /><br />Pros:<br />+Good for you<br />+Lots of natural ingredients<br />+One bar is a good snack (not too sweet, not too small, just right)<br /><br />Cons:<br />-The ingredients on the title of the bar misrepresent the actual ingredients<br />-Very gooey and sticky. You won't be able to touch them with your hands<br />-From my experience, 10% of the boxes have bars that are hard as rocks"
79438,B003TNANSO,4.0,the KIND PLUS almond/walnut/macadamia + protein bar is the best snack bar i have ever tried...all those nuts mixed together....WOW!!!  kinda hard to get in the package though...guess that's what keeps the bar fresh...
137126,B001P05K7M,1.0,"we purchased this cuz our lil buddy has stinky breath.  i saw the reviews that mentioned the gagging and just hoped it wouldn't affect our dog.  unfortunately, i was wrong.  he gagged on some, others he didn't, we kept giving em a try and following some of the advice others have here - unfortunately, he even threw up once or twice.  after that we just threw them away."
236642,B008YA1NWC,2.0,"I was really looking forward to the Island Coconut based on other reviews and since I love flavored coffees and coconut I thought to myself ""I can't go wrong.""  Unfortunately I was totally disappointed - although it smells great, it just tastes weird!  Oh well, you don't know if you don't try.  I'll be offering my leftovers to friends and I'll be curious to know what they think."
16518,B0040BEQKU,5.0,"Have Australian Shepherd,  Shelties, and a Minature Doberman and they all LOVE the Rise and Shine.  Unfotunately, the only retailer carrying this product is 50 miles away.  Thanks for stocking this item."
17336,B000EVIDUY,5.0,"Not only are these brownies very tasty, they are very easy to make. I use a brownie pan (11 x 7) and they come out perfect every time. I wish they made a bigger batch because they don't last long in my house. My family members, who are not on a gluten-free diet, really like these brownies. I am glad I can buy them in bulk on Amazon along with other gluten-free groceries too."
76073,B002EAQXQO,4.0,"These are a great snack to have around. They're a touch on the gooey side for my taste, but I'm able to overlook it ..... repeatedly. :)"
246346,B005QSIFUS,2.0,"I ordered this chocolate by mistake when trying to order the sour cherry chocolate from the same seller. Since the products have been repackaged, the new packaging looks similar for different flavors.  I did not enjoy this profuct as much as the cherry one, so I am switching back to cherry."
252851,B000BY50BY,2.0,"Great price.  Our dog loves them. But wow, these smell really, really bad. They don't leave any stains based on artificial coloring but we won't order these again based on the odor - worse smelling than any other variety we've tried in 13 years of dog ownership."
134857,B000KA2TN6,1.0,"...look somewhere else.  I tried everything when it came to making this tea work and nothing did the trick.  This is the first time I have ever tried Coca tea and didn't expect much but what I got was nothing at all.  In fact, I've never tried any other coca products (yeah, that one) and thought this might be a starting point before I jump in to the big boy stuff.  Baking soda, bucal, the tea itself?  Nothing.  So, shop somewhere else if you're looking for a quality product."
128100,B000T49SQ4,1.0,"I put my cat on Evo for 2 years, she got a urinary tract infection.I had to change her food. Right after I changed her food. I found out Evo is terrible for animals, the food is causing alot of health problems and death.I got a letter in the mail stating there is a lawsuit against Innova Evo plus all Natura products.I'm currently in the lawsuit myself.. Evo lied about the ingredients in all their products...DO NOT BUY EVO AND NATURA PRODUCTS!!! (such as Innova Evo, California Natural, Healthwise, Mother Nature, and Karma Dog)Google it, it's called PetproductsSettlement.com.. It's for a $2,150,000 settlement"
167804,B0009RLW06,3.0,"My daughter's daughter likes Boysenberry Syrup and I couldn't find it in our local stores, I ordered it on line.  We like it.  Thank you."
155619,B000FFLHU2,3.0,"I used a teaspoon of this powder, mixed with my protein powder to make my morning shakes. The taste and smell of this product is not great.  This is why I mix it with chocolate flavored protein powder, cinnamon, soy milk or regular fat free milk. It has a musty, burlap sack tasting kind of scent.  Adding stevia or splenda to my shake helped improved the taste, however, the odor was still there. I noticed after about a week of adding this product to my diet that I felt a little more alert mentally and energetic after drinking it.  Not in a way that caffeine affects me, but in a positive way it helped me get my work done with less brain fog. My skin looked clearer and brighter without makeup on. It had zero affect on my libido. Some users mention its helpful for that, but it did not do so for me. I am not sure I will buy the product again since I know so little about it's benefits. After all, I can just take a super B complex vitamin and feel the same response, no?  But really, the problem with me is the taste.  I plan to finish the bag to see it's longer term affects  and see if they outweigh the bad taste."
17609,B000CMIYWC,5.0,"I was pretty skeptical that this tea could actually do anything for my ""winter stuffies"" but I really don't like the idea of over-medicating myself with prescriptions and otc drugs either, so I figured I'd give it a shot. Imagine my pleased surprise to find out this tea is both a soothing drinking experience and also...actually works! It has a nice, herby taste and not over-licoricey at all (which I feared, not being a fan.) Really nice with a drop of honey. And then, amazingly enough, my nose and lungs feel open and clear for hours after drinking this tea. One cup, and I ran back to my computer to order a subscription!"
238785,B0047434N0,2.0,"This coffee is barely palatable especially if you like 100% Hawaiian coffee.  It does not give the percentage of Kona it has in it, but to be a blend it only has to be 10% (I'm not positive though), this coffee in my opinion is not any better than a low end supermarket coffee."
17061,B000F2VESU,5.0,"After eating Thai sticky rice at our local Thai restaurant, I wanted to be able to enjoy this tasty dish at home.  I purchased the steamer, basket, cheese cloth and rice kit.  It arrived quickly and carefully packaged.  Complete instructions were included, which enabled me to make great sticky rice on my first try.  Import Foods also offers a full list of Thai receipes, along with a list of the ingredients needed, and the ability to simply click and order the needed items.  They offer an easy to use web buying experience and excellent quality products. I will definitely order from them again."
150030,B002XWZH1U,3.0,"I had never seen or heard of this cheese before when I saw it in the cheese section of my local supermarket, so I bought one out of curiosity. It's almost uncanny how caramel-like it is. It looks like an oversized version of a caramel candy you get at a store. It's brown-ish in color (like caramel). It's not a very hard cheese or very soft. It slices very easily. The taste is sweetly reminiscent of caramel. Maybe it would pair well with chocolate.<br /><br />It's so much like caramel that it is very unlike any other cheese I've tasted. That's the reason I only give it three stars - maybe it's technically a cheese, but it doesn't taste like cheese. That said, it's not bad, it's just unexpected."
157128,B002TMV3GC,3.0,"Actually a 3.5.<br /><br />As others have said the bag was quite impossible to open. I gave up and had to cut the top of the bag which makes the little wire reclose hinges useless. So that was annoying.<br /><br />The coffee smells wonderful in the bag & when it starts brewing, it smells even better. So great smell all around.<br /><br />The flavor has hints of nut, but not necessarily Hazlenut. We didn't get any creme brulee, but the flavor is fine.<br /><br />For the price (6$ a bag) it's about the same as a good bag of flavored coffee from our local grocery. Were this there, I would buy it for this price. Comprable to ""Eight O'Clock"" or Dunkin Donuts. Give it a try."
155433,B000GAT6NG,3.0,"I received the product without incident.  I just am not convinced that it is with any merit.  I don't feel any different, my sugar levels remain the same.  I guess time will tell.  I don't think i would recommend purchasing this product."
249718,B001LGGH54,2.0,"I like the concept of these natural, carbonated juice beverages and I really liked the black cherry flavor. But among the three flavors I tried, the Watermelon Strawberry was my least favorite.  It has a very syrupy sweet taste.  Without a flavor attractive enough to make up for the calories, the carbohydrates and sugar, I'd prefer to stick with water."
75853,B004MO6NI8,4.0,"The flavor of the No Fear, Super Energy drink was good and it gave me a lot of energy.  Great for an afternoon pick me up.  I got my housework done in record time.  Whoot!"
154581,B002AQ0OL2,3.0,"Was a good deal when selling the 50 count for $22 (less than 50 cents per cup). However, at $27+ it's no longer worth buying from Amazon.  Can get the same deal at the grocery stores when buying an 18 count box for $10 and can even get the Green Mountain brand for that price. Good coffee though and I considered setting up the automatically times shipment to my house every month, however until it drops down to below 50 cents per cup, I won't."
